Program,BA ELS,BA FIL,BA HISTORY,BA POL SCI,BA PSYCH,BA SOCIO,BEED Lang Ed,BEED SCI MAT,BET-CET,BET-CHET,BET-ELET,BET-ESET,BET-MET,BET-MMT,BPED,BS ECON,BS ENTREP,BS HM,BS PHIL,BS PSYCH,BSA,BSBA-B.ECON,BSBA-MKT MGT,BSBIO(AnBio),BSBIO(Bdv),BSBIO(MCB),BSBIO(PlBio),BSCA,BSCE,BSCERE,BSCHE,BSCHEM,BSCPE,BSCS,BSED BIO,BSED CHEM,BSED FIL,BSED MATH,BSED PHYS,BSEE,BSEM,BSEnE,BSEsE,BSIAM,BSIS,BSIT,BSMARINE BIO,BSMATH,BSME,BSMETE,BSNURSING,BSPHYSICS,BSSTAT,BTLED-HE,BTLED-IA,BTVTED-DT
BSCA,173.4777675,124.5254838,122.3212516,163.2368698,161.0206762,122.014787,142.593622,165.6038308,126.5411237,191.9923653,177.2769147,135.5150429,132.0769038,153.3004021,136.8725155,107.1495322,112.8906348,157.225796,110.3596948,155.446308,145.5319718,107.3184179,115.2419672,108.1789961,99.85252519,105.2090514,107.5499624,0,155.5817168,170.0372853,254.8242481,136.0528452,170.4852587,68.42239035,152.6273615,157.0326161,125.0589492,123.5789928,145.0513479,245.1996204,135.0013351,313.8958752,246.781293,146.2623924,96.97941011,83.85269969,129.5824135,103.3230775,143.4192913,157.2281269,199.4212292,193.1159888,127.2811003,150.5501579,167.7900586,190.1674752
BSCE,203.1252757,160.2619188,156.454272,191.4112123,189.2856298,158.54896,174.7641089,191.3139791,90.71653691,126.1203617,169.9223063,135.1204019,98.52899042,133.6522229,170.4399175,148.0761953,149.2388714,185.6927371,147.9993697,182.1331502,178.6713565,149.1108257,152.471174,148.577999,143.4846498,146.3394258,148.5593456,155.5817168,0,106.1597154,140.3965781,161.5768137,152.3267736,139.8437163,178.6718964,183.9124057,160.0600208,158.6257798,172.1224585,196.1428443,120.6553081,222.5931548,189.9733495,142.8612097,146.3563494,144.529886,161.8092739,143.3493061,64.90909424,82.94719758,221.3630588,201.0621401,158.5820306,178.1705449,200.2977841,210.7858473
BSCERE,213.7033029,170.4526036,169.5567215,202.2352614,201.0421164,171.8708838,182.3052354,197.7418601,123.6467075,139.9996955,181.8939005,154.2199109,119.7686434,135.0325226,182.5620973,161.773468,162.7442665,197.1608123,160.2646277,194.2515343,189.7568236,163.2731757,166.0191587,162.5587268,156.6465139,160.3400094,159.9744676,170.0372853,106.1597154,0,169.5326701,165.6613211,172.1816832,154.9313753,183.573804,191.0102113,170.5067673,171.312295,178.1699796,211.6314346,136.3558623,239.623839,211.897332,155.6960452,161.720145,161.2495511,174.5749571,158.0509002,102.7610639,105.7426128,232.1895068,218.8065172,169.5247587,189.4418615,203.748013,217.9502545
BSCHE,286.7824948,257.5523057,255.5162929,278.0423053,275.7005018,256.5946371,266.8788872,277.1166101,190.1333462,155.0509858,239.9444604,216.212574,185.6340151,203.1486117,264.5161546,250.7094464,251.1091036,273.2546244,250.289977,272.2586947,269.0531833,251.0898992,252.9380963,250.1334248,247.4046765,249.161778,250.2420904,254.8242481,140.3965781,169.5326701,0,252.9435737,213.5395865,242.7414303,266.3811004,270.6761809,257.8113328,257.8757228,263.4613999,232.6357267,214.5315227,185.8767047,219.4135013,219.0838665,246.9607126,244.0813047,257.8557162,248.8605229,149.9179941,155.6073382,300.9345137,291.9003121,254.8779065,270.6561823,284.7239954,292.9022347
BSCHEM,181.4424004,130.6552836,126.5069763,169.3622481,162.8909264,129.821713,144.5657502,164.6890134,139.270793,173.4298908,180.5282405,164.3292762,142.4240002,145.331207,143.1386532,117.1213845,121.6826596,166.0506259,119.0210879,151.8796291,156.9769817,118.9822387,124.8266439,103.291958,103.1150939,107.0773487,103.8436827,136.0528452,161.5768137,165.6613211,252.9435737,0,195.6903212,119.8788559,144.6984325,146.3147978,131.0490692,131.3175983,134.0064097,239.8343366,133.26128,296.3393878,259.6695492,169.0620051,130.7825663,132.0698391,127.4008657,112.2916018,149.6232291,146.3845731,204.8024985,177.5775614,142.2881454,156.8540577,181.4641118,194.6177326
BSCPE,229.2299656,196.895099,194.8782226,219.3942208,219.2467963,194.3495746,208.433382,223.2943296,154.7872353,188.9321885,170.7731214,144.0266388,148.8996721,172.4724842,204.6184135,187.9281482,184.2653654,216.7621808,185.466261,214.5929133,206.0165503,188.4483313,188.5155878,185.6373687,183.778855,186.3106287,185.6625014,170.4852587,152.3267736,172.1816832,213.5395865,195.6903212,0,159.1329582,214.6026799,214.4590294,196.9996456,194.5587713,208.9491369,171.8806932,176.2033993,271.2764333,149.8656143,167.7564135,177.7355671,167.2358479,193.9376226,180.1682074,149.9269446,157.949609,250.3155425,237.5970893,182.7195134,209.5577679,224.7119344,221.4835075
BSCS,158.1957176,105.7534687,100.6634397,147.0498548,146.4430232,99.99543386,125.9116002,150.4785041,110.1539378,178.2067286,164.350541,126.0467049,112.2944445,137.5581707,121.9068291,86.74277968,91.21160228,143.0880426,86.86180853,140.7196221,127.1840429,87.93071025,94.10634204,90.16599841,79.94530611,86.09319341,88.79964477,68.42239035,139.8437163,154.9313753,242.7414303,119.8788559,159.1329582,0,136.1838746,141.8271414,106.1928547,106.3328899,129.0198478,232.4985909,113.5027058,302.5675443,237.8678161,136.4603557,81.0360543,64.42273743,109.963396,75.38084674,124.1296811,138.7427221,188.4827445,184.3848822,96.58759982,135.0691416,160.2909047,176.7062485
BSED BIO,191.4082398,146.1654629,135.7812682,180.0304424,177.317048,145.1560305,139.3692078,117.9848335,156.2385242,197.5308638,200.2207439,175.7231854,158.6850987,170.191882,141.6836021,135.1023685,140.9994129,179.7807265,132.71124,172.5455495,168.9744235,137.9291633,143.2429089,127.8858567,124.4157771,125.3664985,132.0190318,152.6273615,178.6718964,183.573804,266.3811004,144.6984325,214.6026799,136.1838746,0,86.49533289,125.4560727,116.4361294,60.20775585,264.5423555,156.1444255,312.3124267,274.5441563,180.9231861,147.0857099,148.133724,143.8565238,125.2205785,168.4235395,172.5572494,209.5347919,208.9204332,158.1857244,150.8645936,171.0653258,187.5632989
BSED CHEM,194.9427966,150.2421847,137.2961342,185.0372996,178.0213306,150.2953656,132.0420331,100.8991301,158.5645265,205.2649928,197.8843159,180.5523414,160.6821145,164.8831494,141.4475082,140.1020027,145.0185788,183.216309,138.8477575,173.3834444,173.3702217,142.2074297,147.7112127,132.6068263,132.3568254,134.1226912,134.8892983,157.0326161,183.9124057,191.0102113,270.6761809,146.3147978,214.4590294,141.8271414,86.49533289,0,107.671361,84.90665371,54.28490292,258.1808449,159.9852498,316.8815189,276.9291984,183.0867815,151.7249291,152.128983,148.2252935,128.3316789,172.8124259,179.933121,214.6853518,206.700656,162.4151173,125.872061,143.9987581,160.763307
BSED FIL,168.8095583,86.96312639,103.2780418,159.4348186,152.3739081,113.4686584,98.57758378,121.5776832,129.2405889,191.9658161,182.6403889,154.113026,134.1204998,151.1221517,113.1874375,99.92192607,107.926821,156.2046459,100.4684313,148.7496608,145.2112659,103.010477,109.6269853,105.811533,98.26810897,101.1027501,102.710982,125.0589492,160.0600208,170.5067673,257.8113328,131.0490692,196.9996456,106.1928547,125.4560727,107.671361,0,72.69666733,101.7972661,250.5249702,132.3748425,318.2870598,260.4686299,158.1088109,118.7162483,119.1492785,125.2130516,94.4634826,147.7219325,158.0853208,194.9692725,194.455459,130.4735604,109.8248146,137.5647601,153.8353327
BSED MATH,171.6886012,116.8331918,101.4487339,161.6374664,153.9341957,118.4260965,107.1660154,107.4136904,131.6884415,194.0589432,181.7842787,157.2166797,135.7942632,150.1341451,113.0372348,104.271695,111.0347074,158.6879638,107.1485613,150.1716262,148.8763849,107.2364539,115.3836176,108.3031985,101.9268779,105.9094679,106.1822514,123.5789928,158.6257798,171.312295,257.8757228,131.3175983,194.5587713,106.3328899,116.4361294,84.90665371,72.69666733,0,87.24942958,246.9417541,132.3625392,315.9811664,256.9536042,158.0820912,119.1648355,118.2749665,125.794741,86.25548061,148.4078422,157.4591041,195.8719108,191.2409661,130.0690024,100.4375482,128.2699608,144.8146357
BSED PHYS,185.6510317,137.0055417,126.4675076,176.367478,169.9569454,136.9967798,124.9725983,105.2581468,146.9315009,192.8178766,194.6631595,169.4922265,148.8345734,159.3929442,129.6727468,126.01391,132.254371,173.143636,125.4053146,164.8045525,163.4976066,128.9208315,134.6002195,121.3001764,117.9579608,119.184489,123.5262561,145.0513479,172.1224585,178.1699796,263.4613999,134.0064097,208.9491369,129.0198478,60.20775585,54.28490292,101.7972661,87.24942958,0,259.5353149,147.300751,315.9496109,269.111578,171.8814224,139.4469795,140.2105133,138.2653063,115.9011766,161.1924653,167.1856913,206.6822366,196.1550463,150.7414042,126.6267279,144.4760683,162.8793076
BSEE,279.3170983,249.6192689,249.3047819,269.9857554,265.1246843,248.9875503,259.3344897,272.5928459,210.1549599,220.8345744,146.1106944,196.1043229,199.6218185,212.0930907,255.3098299,244.0419084,239.7274151,258.1582459,241.0729068,259.6065584,254.6843245,242.8154285,241.3056158,238.1228889,240.9676751,242.5442574,237.7876655,245.1996204,196.1428443,211.6314346,232.6357267,239.8343366,171.8806932,232.4985909,264.5423555,258.1808449,250.5249702,246.9417541,259.5353149,0,221.5736457,271.075475,186.700127,200.1793218,230.5763463,234.7022716,241.7490394,234.3758877,192.2897993,201.6145825,293.3081278,272.5409807,238.8404304,259.9355533,267.3211192,274.2290937
BSEM,182.1715198,132.2275045,128.4623397,171.5372494,167.9862482,132.0096969,148.2709177,168.0068493,115.1691197,161.9356741,171.4542317,142.0621179,118.5476456,140.1992391,144.5991041,118.7691764,119.5216137,160.0455796,119.284307,160.6304737,154.5846926,119.2735051,122.2303412,120.5422527,115.5121506,118.5423201,120.0892763,135.0013351,120.6553081,136.3558623,214.5315227,133.26128,176.2033993,113.5027058,156.1444255,159.9852498,132.3748425,132.3625392,147.300751,221.5736457,0,275.6891569,233.8364046,150.6123126,124.010767,126.7582637,135.3572004,114.2952819,112.0831295,107.6569104,205.0807837,189.5499951,136.019722,155.4500955,183.5155081,193.847682
BSEnE,340.7564717,318.3097449,313.9032544,329.5082543,328.6267328,316.2468491,322.3653429,325.2049872,261.2525125,227.6406688,284.8298033,278.8706237,255.742921,257.4009185,317.8784604,310.3505811,311.5106353,326.0972616,302.8889425,324.6465088,325.4076009,308.8767772,313.1814835,306.7594917,308.1989675,309.6608492,307.6946315,313.8958752,222.5931548,239.623839,185.8767047,296.3393878,271.2764333,302.5675443,312.3124267,316.8815189,318.2870598,315.9811664,315.9496109,271.075475,275.6891569,0,283.1099235,283.7643738,307.8668082,304.667907,311.4089728,308.5317896,230.7254329,230.4296624,347.9126993,338.2688023,315.2339687,328.054457,336.2743569,346.4696865
BSEsE,287.6880371,259.8555479,257.4075078,277.0213031,279.2553587,258.5401945,269.9927714,280.6201494,211.2257129,227.3860509,218.8685613,195.2963676,199.9185516,237.1806054,265.5610679,252.5671165,248.4100793,274.4340335,250.1242398,274.589746,264.2490798,252.1538391,254.3101071,254.1550344,250.7217692,252.647867,253.7398405,246.781293,189.9733495,211.897332,219.4135013,259.6695492,149.8656143,237.8678161,274.5441563,276.9291984,260.4686299,256.9536042,269.111578,186.700127,233.8364046,283.1099235,0,205.7396614,239.7492277,237.2593646,259.6674789,248.1966243,192.5377857,203.3157026,303.738623,280.2351057,247.3735576,270.3176606,283.811816,279.1959347
BSIAM,202.7515606,160.5882153,157.8884977,193.4758154,189.3334422,159.9615406,171.787038,191.2581295,124.4060594,163.3430609,137.6446192,117.9616372,115.360067,141.3825285,165.2922341,148.9798195,150.6099069,186.8591891,149.9247471,184.5290757,174.7867334,149.3065566,155.7063202,152.089055,147.2742103,148.0544074,151.6348739,146.2623924,142.8612097,155.6960452,219.0838665,169.0620051,167.7564135,136.4603557,180.9231861,183.0867815,158.1088109,158.0820912,171.8814224,200.1793218,150.6123126,283.7643738,205.7396614,0,146.0076711,142.3397723,164.7794617,145.7556982,130.1707239,147.758816,224.2829765,213.7252877,156.1467069,172.6875031,180.4187011,203.1396355
BSIS,171.3904158,118.2235604,112.9399034,158.3518627,157.4281289,117.8254097,137.0752813,160.3120717,116.9179937,183.0356959,169.7575103,144.0118638,120.9283852,149.0368607,128.0566719,97.38817005,84.3483081,126.4582429,101.6194494,151.3927878,121.1594953,94.67776477,91.77213477,101.7783041,92.10691595,99.88270857,101.8282766,96.97941011,146.3563494,161.720145,246.9607126,130.7825663,177.7355671,81.0360543,147.0857099,151.7249291,118.7162483,119.1648355,139.4469795,230.5763463,124.010767,307.8668082,239.7492277,146.0076711,0,69.37992592,122.8386486,95.9151117,136.099965,146.3562825,192.8359437,192.2945381,120.9962894,138.7626086,162.721817,185.9871483
BSIT,171.3582335,119.3783971,114.2871881,157.7547352,157.4260059,116.2007497,136.7543239,159.9263919,115.9525045,182.2337532,170.1723022,138.4418454,118.385344,143.7029993,131.2369936,102.3831515,100.4263007,145.2590638,101.5031629,152.0837583,135.088833,100.6099223,105.2543562,104.6663956,96.02123339,102.0601744,104.4665406,83.85269969,144.529886,161.2495511,244.0813047,132.0698391,167.2358479,64.42273743,148.133724,152.128983,119.1492785,118.2749665,140.2105133,234.7022716,126.7582637,304.667907,237.2593646,142.3397723,69.37992592,0,123.6152202,94.50050986,134.006734,146.0168909,195.9062182,192.7920645,118.1878624,143.6467177,164.3760097,185.6474377
BSMARINE BIO,176.2116811,124.3221983,120.5729719,164.4346928,158.4401707,122.2642585,142.9223338,162.8003149,137.2545668,192.0842368,178.4569904,158.4778931,141.1474767,155.592742,140.9514049,110.0829679,115.5070985,159.8430076,109.5777497,150.9313248,151.338201,112.4141842,119.2486929,93.67619647,94.40554448,94.55931118,100.3006651,129.5824135,161.8092739,174.5749571,257.8557162,127.4008657,193.9376226,109.963396,143.8565238,148.2252935,125.2130516,125.794741,138.2653063,241.7490394,135.3572004,311.4089728,259.6674789,164.7794617,122.8386486,123.6152202,0,104.2652723,150.0010743,159.3731612,197.1215347,191.6602945,127.3544258,152.2973444,179.2562532,191.2541699
BSMATH,161.0175706,99.32106365,90.23805898,145.4025809,140.521919,96.39180219,112.3612429,136.4537885,116.5704757,182.8724005,168.9123202,141.749704,121.1338803,140.7711121,111.0923918,79.28434748,88.71797926,144.4042424,84.19993546,135.066421,128.4963191,85.75982115,93.96960622,83.37185466,74.90566491,80.21127455,81.81829545,103.3230775,143.3493061,158.0509002,248.8605229,112.2916018,180.1682074,75.38084674,125.2205785,128.3316789,94.4634826,86.25548061,115.9011766,234.3758877,114.2952819,308.5317896,248.1966243,145.7556982,95.9151117,94.50050986,104.2652723,0,128.56574,140.7180952,184.8629106,178.0631969,84.82840816,125.7421192,155.1236997,170.4233293
BSME,192.6338174,146.7133105,144.1864199,180.3715934,179.0288482,144.4251072,163.5204685,181.4791373,97.7146488,128.9663282,156.9226917,126.0374564,88.72610592,127.5220551,158.7422284,134.9084351,138.3041483,178.2946064,135.7122002,172.2991929,163.8918005,136.8073653,140.7900243,135.304777,129.8224119,132.8257845,134.9828498,143.4192913,64.90909424,102.7610639,149.9179941,149.6232291,149.9269446,124.1296811,168.4235395,172.8124259,147.7219325,148.4078422,161.1924653,192.2897993,112.0831295,230.7254329,192.5377857,130.1707239,136.099965,134.006734,150.0010743,128.56574,0,80.02540168,213.0834659,192.1699151,141.2556405,171.15489,192.9621876,204.4901806
BSMETE,201.6185265,157.237948,154.5164652,188.6598147,188.0059979,156.3566919,172.2655927,187.6201766,109.5091049,124.9329385,173.3846776,139.8867872,107.6865765,126.1037552,161.6169539,146.4355858,146.5874231,183.0006573,146.1742175,181.4354531,176.0201741,147.6653904,149.7386724,145.5918062,138.76116,142.9366036,141.5290073,157.2281269,82.94719758,105.7426128,155.6073382,146.3845731,157.949609,138.7427221,172.5572494,179.933121,158.0853208,157.4591041,167.1856913,201.6145825,107.6569104,230.4296624,203.3157026,147.758816,146.3562825,146.0168909,159.3731612,140.7180952,80.02540168,0,221.3072473,209.3480798,155.3979592,176.5965482,200.8457039,210.1238951
BSNURSING,232.9506236,195.8272709,191.3384481,224.2012254,216.3464136,190.7952605,201.2889968,218.1500757,201.3197268,247.300164,239.4320339,218.4054171,206.8515205,222.6107128,190.6190017,187.1631538,187.091663,216.1335684,185.5844858,215.1921061,212.0039258,188.4254157,190.4965622,186.8684112,183.6382317,184.5542162,187.162347,199.4212292,221.3630588,232.1895068,300.9345137,204.8024985,250.3155425,188.4827445,209.5347919,214.6853518,194.9692725,195.8719108,206.6822366,293.3081278,205.0807837,347.9126993,303.738623,224.2829765,192.8359437,195.9062182,197.1215347,184.8629106,213.0834659,221.3072473,0,249.5942816,203.5592044,204.0771844,228.2229354,240.8405512
BSPHYSICS,230.7299482,194.1590519,190.8329267,221.6558286,216.4996443,193.2012334,205.181177,213.3910005,192.6015281,235.1417521,223.2036079,211.3452284,196.7420262,205.882439,204.336123,183.0773207,188.1590209,220.3533397,184.3365748,201.9872743,210.7877295,184.6675008,191.1670386,182.0091431,181.7092802,183.5376526,182.0155457,193.1159888,201.0621401,218.8065172,291.9003121,177.5775614,237.5970893,184.3848822,208.9204332,206.700656,194.455459,191.2409661,196.1550463,272.5409807,189.5499951,338.2688023,280.2351057,213.7252877,192.2945381,192.7920645,191.6602945,178.0631969,192.1699151,209.3480798,249.5942816,0,197.0542134,212.6669437,232.7724586,241.4291446
BSSTAT,180.7181434,128.8976477,126.5776358,164.3027129,163.2537954,122.2494618,148.2733399,170.1810314,135.9895635,194.5291992,184.7519498,153.5407676,139.7811352,156.5395941,147.3566162,113.1483242,120.4938619,163.0738996,117.7584477,158.2630969,145.9668783,117.1335711,124.1621454,117.2313095,110.9883169,114.0726221,116.3611858,127.2811003,158.5820306,169.5247587,254.8779065,142.2881454,182.7195134,96.58759982,158.1857244,162.4151173,130.4735604,130.0690024,150.7414042,238.8404304,136.019722,315.2339687,247.3735576,156.1467069,120.9962894,118.1878624,127.3544258,84.82840816,141.2556405,155.3979592,203.5592044,197.0542134,0,156.5691784,182.1239705,192.2043108
BTLED-HE,190.2031423,143.2075085,133.1480929,181.797647,175.2097031,143.6322113,133.3120087,142.1819828,149.8275817,208.8195011,200.2823516,174.1066563,154.2384808,168.3761293,132.1439037,132.3235285,131.3521446,166.0650578,133.9263542,171.8150248,166.4919609,132.8284759,136.6064133,136.8197838,130.8216472,132.3729345,134.8503505,150.5501579,178.1705449,189.4418615,270.6561823,156.8540577,209.5577679,135.0691416,150.8645936,125.872061,109.8248146,100.4375482,126.6267279,259.9355533,155.4500955,328.054457,270.3176606,172.6875031,138.7626086,143.6467177,152.2973444,125.7421192,171.15489,176.5965482,204.0771844,212.6669437,156.5691784,0,122.7701635,145.0886722
BTLED-IA,211.8483366,170.330597,163.6072075,203.4071425,197.5707248,171.3582557,151.1615026,159.6702517,165.5835168,224.3801135,203.8671724,192.6180312,166.0999627,165.9774465,158.7578011,161.7358114,160.1608096,194.350894,158.4285113,195.4815018,191.180282,163.0323168,167.3030934,163.0929961,158.0587518,161.5307927,160.9955274,167.7900586,200.2977841,203.748013,284.7239954,181.4641118,224.7119344,160.2909047,171.0653258,143.9987581,137.5647601,128.2699608,144.4760683,267.3211192,183.5155081,336.2743569,283.811816,180.4187011,162.721817,164.3760097,179.2562532,155.1236997,192.9621876,200.8457039,228.2229354,232.7724586,182.1239705,122.7701635,0,147.543706
BTVTED-DT,222.5053528,183.2261484,175.4643242,214.0465601,209.5549963,185.054239,172.7279803,177.658549,180.649625,238.0946045,223.374122,202.3216862,185.7394593,198.8746533,176.2218125,174.4674529,169.1225935,208.5573575,175.6846657,207.6429233,204.4324805,176.2607177,180.4284804,179.2501578,174.7858824,176.8750272,177.5075562,190.1674752,210.7858473,217.9502545,292.9022347,194.6177326,221.4835075,176.7062485,187.5632989,160.763307,153.8353327,144.8146357,162.8793076,274.2290937,193.847682,346.4696865,279.1959347,203.1396355,185.9871483,185.6474377,191.2541699,170.4233293,204.4901806,210.1238951,240.8405512,241.4291446,192.2043108,145.0886722,147.543706,0
