"Progcode","Progdesc","Predicted"
"BTVTED-DT","BACHELOR OF TECHNICAL-VOCATIONAL TEACHER EDUCATION DRAFTING TECHNOLOGY","Bachelor of Technical-Vocational Teacher Education major in Drafting Technology"
"BTLED-IA","BACHELOR OF TECHNOLOGY AND LIVELIHOOD EDUCATION-INDUSTRIAL ARTS","Bachelor of Technology & Livelihood Education major in Industrial Arts (BTLEd Industrial Arts)"
"BTLED-HE","BACHELOR OF TECHNOLOGY AND LIVELIHOOD EDUCATION -HOME ECONOMICS","Bachelor of Technology & Livelihood Education major in Home Economics (BTLE Home Economics)"
"BSSTAT","BACHELOR OF SCIENCE IN STATISTICS","BS Statistics"
"BSPHYSICS","BACHELOR OF SCIENCE IN PHYSICS","BS Physics"
"BSNURSING","BACHELOR OF SCIENCE IN NURSING","BS Nursing"
"BSMETE","BACHELOR OF SCIENCE METALLURGICAL ENGINEERING","BS Metallurgical Engineering"
"BSME","BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING","BS Mechanical Engineering"
"BSMATH","BACHELOR OF SCIENCE IN MATHEMATICS","BS Mathematics"
"BSMARINE BIO","BACHELOR OF SCIENCE IN MARINE BIOLOGY","BS Biology (Marine Biology)"
"BSMARINE BIO","BACHELOR OF SCIENCE IN MARINE BIOLOGY","BS Marine Biology"
"BSIT","BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY","BS Information Technology"
"BSIAM","BACHELOR OF SCIENCE IN INDUSTRIAL AUTOMATION & MECHATRONICS","Bachelor of Engineering Technology (Mechatronics & Automation Engineering Technology)"
"BSEsE","BACHELOR OF SCIENCE IN ELECTRONICS ENGINEERING","BS Electronics & Communication Engineering"
"BSEsE","BACHELOR OF SCIENCE IN ELECTRONICS ENGINEERING","BS Electronics Engineering"
"BSEM","BACHELOR OF SCIENCE IN MINING ENG'G.","BS Mining Engineering"
"BSEE","BACHELOR OF SCIENCE IN ELECTRICAL ENGINEERING","BS Electrical Engineering"
"BSED PHYS","BACHELOR OF SECONDARY EDUCATION (PHYSICS)","Bachelor of Sec. Science Education in Sciences"
"BSED MATH","BACHELOR OF SECONDARY EDUCATION (MATHEMATICS)","Bachelor of Secondary Education major  in Mathematics (BSED Mathematics)"
"BSED MATH","BACHELOR OF SECONDARY EDUCATION (MATHEMATICS)","Bachelor of Secondary Mathematics Educ."
"BSED MATH","BACHELOR OF SECONDARY EDUCATION (MATHEMATICS)","BSED Mathematics"
"BSED FIL","BACHELOR OF SECONDARY EDUCATION (FILIPINO)","BSED Filipino"
"BSED CHEM","BACHELOR OF SECONDARY EDUCATION (CHEMISTRY)","Bachelor of Secondary Education major in Chemistry (BSED Chemistry)"
"BSED BIO","BACHELOR OF SECONDARY EDUCATION (BIOLOGY)","Bachelor of Secondary Education major in Biology (BSED Biology)"
"BSED BIO","BACHELOR OF SECONDARY EDUCATION (BIOLOGY)","BSED Biology"
"BSCS","BACHELOR OF SCIENCE IN COMPUTER SCIENCE","BS Computer Science"
"BSCPE","BACHELOR OF SCIENCE IN COMPUTER ENGINEERING","BS Computer Engineering"
"BSCHEM","BACHELOR OF SCIENCE IN CHEMISTRY","BS Chemistry"
"BSCHE","BACHELOR OF SCIENCE IN CHEMICAL ENGINEERING","BS Chemical Engineering"
"BSCE","BACHELOR OF SCIENCE IN CIVIL ENGINEERING","BS Civil Engineering"
"BSCA","BACHELOR OF SCIENCE IN COMPUTER APPLICATIONS","BS Computer Applications"
"BSBIO(PlBio)","BACHELOR OF SCIENCE IN BIOLOGY(PLANT BIOLOGY)","BS Biology (Botany)"
"BSBIO(PlBio)","BACHELOR OF SCIENCE IN BIOLOGY(PLANT BIOLOGY)","BS Biology (Plant Biology)"
"BSBIO(MCB)","BACHELOR OF SCIENCE IN BIOLOGY (MICROBIOLOGY)","BS Biology (Microbiology)"
"BSBIO(Bdv)","BACHELOR OF SCIENCE IN BIOLOGY (BIODIVERSITY)","BS Biology (Biodiversity)"
"BSBIO(AnBio)","BACHELOR OF SCIENCE IN BIOLOGY(ANIMAL BIOLOGY)","BS Biology (Animal Biology)"
"BSBIO(AnBio)","BACHELOR OF SCIENCE IN BIOLOGY(ANIMAL BIOLOGY)","BS Biology (Zoology Biology)"
"BSBA-MKT MGT","BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION (MARKETING MANAGEMENT)","BSBA Management"
"BSBA-MKT MGT","BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION (MARKETING MANAGEMENT)","BSBA Marketing Management"
"BSBA-B.ECON","BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION (BUSINESS ECONOMICS)","BSBA Major in Business Economics"
"BSA","BACHELOR OF SCIENCE IN ACCOUNTANCY","BS Accountancy"
"BS PSYCH","BACHELOR OF SCIENCE IN PSYCHOLOGY","BS Psychology"
"BS PHIL","BACHELOR OF SCIENCE IN PHILOSOPHY Major IN APPLIED ETHICS","BA Philosophy"
"BS HM","BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT","BS Hospitality Management"
"BS HM","BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT","BS Tourism"
"BS ENTREP","BACHELOR OF SCIENCE IN ENTREPRENEURSHIP","BS Entrepreneurship"
"BS ENTREP","BACHELOR OF SCIENCE IN ENTREPRENEURSHIP","BSBA Entrepreneurial Marketing"
"BPED","BACHELOR OF PHYSICAL EDUCATION","BS Physical Education"
"BET-MMT","BACHELOR OF ENGINEERING TECHNOLOGY-METALLURGY AND MATERIALS ENGINEERING TECHNOLOGY","Bachelor of Engineering Technology (Metallurgical & Materials Processing Engineering Technology)"
"BET-MET","BACHELOR OF ENGINEERING TECHNOLOGY-MECHANICAL ENGINEERING TECHNOLOGY","Bachelor of Engineering Technology (Mechanical Engineering Technology)"
"BET-ELET","BACHELOR OF ENGINEERING TECHNOLOGY-ELECTRICAL ENGINEERING TECHNOLOGY","Bachelor of Engineering Technology (Electrical Engineering Technology)"
"BET-CHET","BACHELOR OF ENGINEERING TECHNOLOGY-CHEMICAL ENGINEERING TECHNOLOGY","Bachelor of Engineering Technology (Chemical Engineering Technology)"
"BET-CET","BACHELOR OF ENGINEERING TECHNOLOGY - CIVIL ENGINEERING TECHNOLOGY","Bachelor of Engineering Technology (Civil Engineering Technology)"
"BEED SCI MAT","BACHELOR OF ELEMENTARY EDUCATION (SCIENCE AND MATHEMATICS)","BEED Major in Science & Mathematics"
"BEED SCI MAT","BACHELOR OF ELEMENTARY EDUCATION (SCIENCE AND MATHEMATICS)","BEED Mathematics"
"BEED Lang Ed","BACHELOR OF ELEMENTARY EDUCATION (LANGUAGE EDUCATION)","BEED English"
"BA SOCIO","BACHELOR OF ARTS IN SOCIOLOGY","BA Sociology"
"BA PSYCH","BACHELOR OF ARTS IN PSYCHOLOGY","BA Psychology"
"BA POL SCI","BACHELOR OF ARTS IN POLITICAL SCIENCE","AB Political Science"
"BA POL SCI","BACHELOR OF ARTS IN POLITICAL SCIENCE","BA Political Science"
"BA HISTORY","BACHELOR OF ARTS IN HISTORY","BA History"
"BA FIL","BATSILYER NG SINING SA FILIPINO","BA Filipino"
"BA ELS","BACHELOR OF ARTS IN ENGLISH LANGUAGE STUDIES","AB English - Literature"
"BA ELS","BACHELOR OF ARTS IN ENGLISH LANGUAGE STUDIES","BA English Language Studies"
NA,NA,"Agribusiness Mgt. Tech (Food Processing)"
NA,NA,"Bachelor of Engineering Technology (Environmental Engineering Technology)"
NA,NA,"Bachelor of Physical Education"
NA,NA,"Bachelor of Secondary Gen. Science Educ."
NA,NA,"BEED General Education"
NA,NA,"BS Biology (GeneralBiology)"
NA,NA,"BS Hotel & Restaurant"
NA,NA,"BS Social Work"
NA,NA,"BSE MAPEH"
NA,NA,"BSE Tech. & Livelihood Educ."
NA,NA,"BSED English"
